station_index,station_id,source_station_id,expver,resolution_arcmin,valid_time_shift_hours,file,name,river,country_code,lon,lat,model_lon,model_lat,model_row,model_col,distance_station_to_model_km,upstream_area_km2,model_upstream_area_km2,upstream_area_difference_pct,kge,correlation,rmse,matched_days,KGE,Correlation,RMSE_m3s,Matched_days,Obs_file
11253,station_011253,7000579,iyp3,15,-24,stations/station_011253.json,"Eger , Marktleuthen",,,11.99477,50.12989,11.875,49.875,160,767,29.607,114.0,299.4,162.63,-0.378,0.368,2.719,731,-0.378,0.368,2.719,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11254,station_011254,7000580,iyp3,15,-24,stations/station_011254.json,"Eger , Hohenberg",,,12.21333,50.10163,12.375,50.375,158,769,32.499,297.9,357.4,19.97,0.372,0.39,2.34,731,0.372,0.39,2.34,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11255,station_011255,7000581,iyp3,15,-24,stations/station_011255.json,"Röslau , Lorenzreuth",,,12.10488,50.02147,11.875,49.875,160,767,23.147,121.9,299.4,145.61,-0.347,0.275,2.811,731,-0.347,0.275,2.811,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11256,station_011256,7000582,iyp3,15,-24,stations/station_011256.json,"Röslau , Arzberg",,,12.1895,50.05468,12.375,50.375,158,769,37.985,290.8,357.4,22.9,0.158,0.242,3.168,731,0.158,0.242,3.168,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11257,station_011257,7000583,iyp3,15,-24,stations/station_011257.json,"Kössein , Marktredwitz",,,12.10277,50.00379,11.875,49.875,160,767,21.698,70.2,299.4,326.5,-2.418,0.249,3.049,731,-2.418,0.249,3.049,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11258,station_011258,7000584,iyp3,15,-24,stations/station_011258.json,"Wondreb , Dobrigau",,,12.29082,49.93301,11.875,49.875,160,767,30.47,93.8,299.4,219.19,-4.924,0.273,3.126,731,-4.924,0.273,3.126,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11259,station_011259,7000585,iyp3,15,-24,stations/station_011259.json,"Wondreb , Waldsassen",,,12.3146,50.00434,12.375,49.875,160,769,15.017,229.5,409.2,78.3,-0.189,0.167,2.359,731,-0.189,0.167,2.359,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11260,station_011260,7000586,iyp3,15,-24,stations/station_011260.json,"Sächsische Saale , Weißdorf",,,11.84636,50.18622,11.875,49.875,160,767,34.666,46.9,299.4,538.38,-3.789,0.334,3.06,731,-3.789,0.334,3.06,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11261,station_011261,7000587,iyp3,15,-24,stations/station_011261.json,"Sächsische Saale , Oberkotzau",,,11.93265,50.26282,11.875,49.875,160,767,43.319,230.5,299.4,29.89,0.108,0.31,2.753,731,0.108,0.31,2.753,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
11262,station_011262,7000588,iyp3,15,-24,stations/station_011262.json,"Sächsische Saale , Hof",,,11.9145,50.32402,11.875,50.125,159,767,22.308,520.8,507.8,-2.5,0.317,0.348,4.228,731,0.317,0.348,4.228,731,/perm/pad/flood_cases/Stations/Qobs_24_1980-2025_withcaravan.zarr
